factor,rank,comp,average,sd,ratio,ava,avb,cumsum
Sex,32,B103,0.0070909,0.014704,0.4822,0.37132,0,0.6926
Sex,33,B102,0.0067674,0.013502,0.5012,0.2292,0.183,0.70236
Sex,34,B055,0.006403,0.012099,0.5292,0.31348,0,0.71159
Sex,35,B024,0.0058657,0.010455,0.561,0.22128,0.15389,0.72005
Sex,36,B030,0.0058648,0.011718,0.5005,0.26984,0,0.72851
Sex,37,B119,0.0052182,0.011187,0.4665,0.2616,0,0.73604
Sex,38,B036,0.0051059,0.009158,0.5576,0.05904,0.25356,0.7434
Sex,39,B014,0.0048188,0.007277,0.6622,0.17692,0.10344,0.75035
Sex,40,B123,0.0046669,0.00865,0.5395,0.08188,0.22011,0.75708
Sex,41,B046,0.0044242,0.007753,0.5706,0.1784,0.09711,0.76346
Sex,42,B020,0.0043694,0.008546,0.5113,0.06752,0.21867,0.76976
Sex,43,B037,0.0043436,0.007761,0.5597,0.04988,0.21544,0.77603
Sex,44,B051,0.0043179,0.009605,0.4495,0.09028,0.20211,0.78225
Sex,45,B118b,0.0042411,0.01213,0.3496,0,0.17678,0.78837
Sex,46,B086,0.0041981,0.008113,0.5175,0.02188,0.25189,0.79442
Sex,47,B005,0.0039725,0.00918,0.4327,0.09996,0.12244,0.80015
Sex,48,B069,0.0039531,0.009749,0.4055,0.04636,0.18133,0.80585
Sex,49,B057,0.0038962,0.006925,0.5626,0.03904,0.19967,0.81147
Sex,50,B097,0.0038436,0.014147,0.2717,0.15468,0,0.81702
Sex,51,B073,0.0034293,0.00819,0.4187,0.10496,0.11856,0.82196
Sex,52,B015,0.0034252,0.009755,0.3511,0,0.19533,0.8269
Sex,53,B028,0.0033955,0.009117,0.3725,0.08504,0.13278,0.8318
Sex,54,B099,0.0033785,0.00981,0.3444,0.17144,0,0.83667
Sex,55,B021,0.0033689,0.007079,0.4759,0.17556,0,0.84153
Sex,56,B127,0.0032618,0.007668,0.4254,0.17016,0,0.84623
Sex,57,B039,0.0032479,0.008197,0.3962,0.116,0.06533,0.85092
Sex,58,B111,0.0031911,0.00724,0.4408,0.08916,0.12267,0.85552
Sex,59,B101,0.0031381,0.008937,0.3511,0,0.17856,0.86005
Sex,60,B065,0.0030272,0.006797,0.4454,0.09052,0.09544,0.86441
Sex,61,B053,0.003,0.005678,0.5284,0,0.176,0.86874
Sex,62,B089,0.0029662,0.005722,0.5184,0,0.18122,0.87302
Sex,63,B081,0.0029536,0.00624,0.4733,0.10152,0.08944,0.87728
Sex,64,B107,0.0029412,0.0112,0.2626,0.15068,0,0.88152
Sex,65,B083,0.0028832,0.006833,0.4219,0.08364,0.10489,0.88568
Sex,66,B116,0.0027225,0.005181,0.5254,0,0.16278,0.8896
Sex,67,B072,0.0026791,0.006057,0.4423,0.09276,0.05256,0.89347
Sex,68,B113,0.0026029,0.005051,0.5153,0,0.154,0.89722
Sex,69,B117,0.0025407,0.007201,0.3528,0.13232,0,0.90088
Sex,70,B006,0.0025255,0.008831,0.286,0.14428,0,0.90453
Sex,71,B126,0.0024564,0.005451,0.4506,0.06788,0.08122,0.90807
Sex,72,B087,0.0024441,0.007219,0.3386,0.11096,0,0.91159
Sex,73,B018,0.0022672,0.006457,0.3511,0,0.129,0.91486
Sex,74,B010,0.0022067,0.00628,0.3514,0,0.13689,0.91805
Sex,75,B064,0.0022038,0.005591,0.3941,0.04768,0.07944,0.92122
Sex,76,B060,0.0021361,0.005622,0.38,0.046,0.08856,0.9243
